Section,Method/Config,C-index,95% CI
A1: Modality Ablation,Full (all 4 omics),0.7797,"[0.4760, 0.5424]"
A1: Modality Ablation,Without mrna,0.6801,"[0.4456, 0.5097]"
A1: Modality Ablation,Without mirna,0.7528,"[0.4809, 0.5441]"
A1: Modality Ablation,Without cnv,0.7817,"[0.4590, 0.5181]"
A1: Modality Ablation,Without mutation,0.7805,"[0.5143, 0.5820]"
A1: Modality Ablation,mRNA only,0.7907,—
A3: Loss Balancing,equal,0.7763,—
A3: Loss Balancing,gradnorm,0.7739,—
A3: Loss Balancing,pcgrad,0.7752,—
A3: Loss Balancing,nash_mtl,0.7819,—
A4: Auxiliary Tasks,Survival only (single-task),0.7676,—
A4: Auxiliary Tasks,+Cancer type,0.7785,—
A4: Auxiliary Tasks,+Cancer type +Stage,0.769,—
A4: Auxiliary Tasks,+Cancer type +Stage +Subtype (full),0.7803,—
C1: Statistical,CoxPH (clinical only),0.4794,—
C1: Statistical,CoxPH (mRNA PCA-50),0.7863,—
C1: Statistical,Cox Elastic Net,0.7379,—
C1: Statistical,Random Survival Forest,0.7753,—
C1: Statistical,BlockForest (approx),0.7495,—
C1: Statistical,Your Model (Proposed),0.7674,—
C2: Deep Learning,DeepSurv,0.7709,—
C2: Deep Learning,MTLR,0.3521,—
C2: Deep Learning,Your Model (Proposed),0.7708,—
