cancer_type,treatment,n_total,n_treated,n_control,ate_days,ate_se,ate_lb,ate_ub
BRCA,stage,728,164,564,-123.07,51.678,-224.35,-21.78
THCA,stage,466,151,315,-92.61,51.7659,-194.07,8.85
HNSC,stage,457,308,149,-40.12,55.1647,-148.25,68.0
LUAD,stage,447,93,354,-174.6,55.9349,-284.24,-64.97
LUSC,stage,376,72,304,-71.14,78.9018,-225.79,83.51
BLCA,stage,369,245,124,-103.62,60.848,-222.88,15.64
STAD,stage,339,175,164,-40.69,47.6147,-134.02,52.63
KIRC,stage,317,118,199,-28.96,69.5311,-165.24,107.32
LIHC,stage,292,69,223,-175.28,71.678,-315.76,-34.79
KIRP,stage,253,56,197,-121.24,83.3021,-284.51,42.03
COAD,stage,239,103,136,-91.27,69.2304,-226.96,44.42
ESCA,stage,156,54,102,-141.31,61.7873,-262.41,-20.2
BRCA,subtype,268,202,66,194.36,82.7082,32.25,356.47
BRCA,mutation,735,241,494,50.51,46.1287,-39.9,140.92
HNSC,mutation,461,326,135,-61.47,55.4412,-170.14,47.19
PRAD,mutation,459,53,406,144.7,73.6716,0.31,289.1
LUAD,mutation,452,226,226,-41.03,49.1189,-137.3,55.24
LGG,mutation,443,216,227,167.64,49.9716,69.69,265.58
LUSC,mutation,380,322,58,206.16,82.5155,44.43,367.89
BLCA,mutation,369,177,192,96.15,57.312,-16.18,208.48
STAD,mutation,347,171,176,-51.43,48.1921,-145.88,43.03
LIHC,mutation,294,89,205,-73.01,68.8243,-207.91,61.88
COAD,mutation,244,147,97,148.72,72.593,6.44,291.0
SARC,mutation,221,79,142,-18.71,80.4335,-176.36,138.94
PAAD,mutation,157,97,60,-127.84,71.6957,-268.37,12.68
UCEC,mutation,138,71,67,46.15,79.3206,-109.32,201.61
