Cancer Type,n,Events,Event Rate,C-index
KIRC,66,21,0.3181818181818182,0.7639
KIRP,54,8,0.14814814814814814,0.7606
LIHC,61,18,0.29508196721311475,0.7539
LGG,86,20,0.23255813953488372,0.7431
LUAD,97,38,0.3917525773195876,0.6984
BLCA,81,41,0.5061728395061729,0.6596
ESCA,32,13,0.40625,0.6593
PAAD,37,21,0.5675675675675675,0.6519
HNSC,91,36,0.3956043956043956,0.6371
UCEC,32,5,0.15625,0.6349
STAD,60,21,0.35,0.6224
COAD,41,5,0.12195121951219512,0.619
SARC,54,17,0.3148148148148148,0.6136
BRCA,134,18,0.13432835820895522,0.5986
CESC,54,17,0.3148148148148148,0.589
LUSC,70,33,0.4714285714285714,0.525
